en_core_web_sm,fr_core_news_sm
you are so stupid .,vous etes tellement idiot !
she s busy now and can t speak to you .,elle est occupee a l heure qu il est et ne peut pas vous parler .
she is kind to him .,elle est gentille avec lui .
he is sitting cross legged .,il est assis en tailleur .
she is stubborn .,elle est obstinee .
we are sorry we can t help you .,nous sommes desoles de ne pas pouvoir vous aider .
i m asking you as a friend .,je vous le demande en tant qu ami .
you re free to say what you think .,vous etes libres de dire ce que vous pensez .
i m going to be late .,je vais arriver en retard .
we re all impressed .,nous sommes tous impressionnes .
you are absolutely right .,tu as parfaitement raison .
you re part of my life .,tu fais partie de ma vie .
i am planning to go to europe next week .,je prevois de me rendre en europe la semaine prochaine .
i m ashamed of what i did .,j ai honte de ce que j ai fait .
i m sure he mistook me for my sister .,je suis sur qu il m a confondu avec ma s ur .
i m not buying your story .,je ne gobe pas ton histoire .
i m not a gambler .,je ne suis pas joueur .
they are my friends .,ils sont mes amis .
you re no longer welcome in my house .,vous n etes plus la bienvenue chez moi .
i m looking for another job .,je suis a la recherche d un autre boulot .
they are melons .,ce sont des melons .
you re no doctor .,tu n es pas medecin .
he is standing on the hill .,il se tient sur la colline .
he is afraid of getting lung cancer .,il craint d avoir un cancer du poumon .
you re going to love this book .,vous adorerez ce livre .
you re going to have to deal with that .,tu devras etre confronte a ca .
i m not old enough .,je ne suis pas assez age .
i m being followed .,je suis suivi .
i m not sure anything happened .,je ne suis pas sure que quoi que ce soit ait eu lieu .
you re off the hook .,vous etes tires d affaire .
they are very big .,elles sont tres grandes .
i m tired of your complaints .,je suis fatigue par vos plaintes .
i m drunk but i can still speak german .,je suis bourre mais je sais encore parler allemand .
i m about to have lunch .,je suis sur le point de dejeuner .
i am working on my new book .,je travaille sur mon nouveau livre .
she is anxious about her safety .,elle est inquiete pour sa securite .
she is not a fan of winter sports .,elle n est pas fan de sports d hiver .
i m surprised that he accepted the offer .,je suis surpris qu il ait accepte l offre .
you are wanted on the phone .,tu es demande au telephone .
you re the one who trained me .,vous etes celui qui m a entrainee .
we re going out .,nous sortons .
you are a doctor .,vous etes medecin .
i m not interested in politics at all .,la politique ne m interesse pas du tout .
you re taking advantage of her weakness .,vous tirez avantage de sa faiblesse .
you re stuck .,vous etes plantee .
i m at your service .,je suis a ton service .
i m in way over my head .,j en crois pas mes yeux .
you re a loser .,tu es un minable .
you re influential .,vous etes influent .
you re the greatest .,vous etes le meilleur .
he s addicted to drugs .,il est accroche aux medicaments .
i m always careful .,je suis toujours prudente .
i m more beautiful than you .,je suis plus beau que toi .
we re paying .,nous sommes en train de payer .
we re asking you not to do that .,nous te demandons de ne pas faire ca .
you are a good student .,tu es un bon etudiant .
i m not afraid to try .,je n ai pas peur d essayer .
i m driving .,je conduis .
you re smashed .,t es bourre .
i m driving .,je suis en train de conduire .
i m not really an expert .,je ne suis pas vraiment un expert .
he s kind of cute isn t he ?,il est assez mignon n est ce pas ?
you re lucky nobody saw you do that .,vous etes chanceux que personne ne vous ait vu faire ca .
you re the reason i came .,c est pour vous que je suis venue .
they re old .,ils sont vieux .
i m in love with you and i want to marry you .,je suis amoureux de toi et je veux t epouser .
you re adorable .,vous etes adorable .
i m not at all satisfied with her .,je ne suis pas du tout content d elle .
i m here on business .,je suis la pour affaires .
we re through .,nous en avons fini .
i m checking options .,je verifie les possibilites .
he s often late for work .,il est souvent en retard au travail .
we re all working together .,nous travaillons tous ensemble .
i m not as young as i used to be .,je ne suis plus aussi jeune qu auparavant .
i m sorry i didn t make it to your party .,je suis desolee de ne pas avoir pu assister a ta fete .
he s different from before .,il est different de ce qu il etait avant .
we re ready now .,nous sommes maintenant pretes .
he is careless about money .,il est negligent en matiere d argent .
i m correct .,j ai raison .
i m really sleepy .,j ai vraiment sommeil .
you re disloyal .,tu es deloyale .
you re cantankerous .,tu es acariatre .
he is leaving narita for hawaii this evening .,il quitte narita pour hawaii ce soir .
i m afraid i have a touch of a cold .,j ai peur d avoir un rhume .
i m fairly certain that tom doesn t have any siblings .,je suis a peu pres sur que tom n a pas de freres et s urs .
i m too old for you .,je suis trop vieille pour toi .
i m a scorpio .,je suis scorpion .
we re all agreed on that .,nous en sommes toutes d accord .
i m running a little late .,je suis un peu en retard .
i m sorry i didn t recognize you .,je suis desole je ne vous ai pas reconnu .
she is collecting material for a book .,elle rassemble du materiel pour un livre .
he is outgoing .,il est sociable .
i am married and have two children .,je suis mariee et j ai deux enfants .
he s sitting on the fence .,il est indecis .
you re excused .,vous etes excusee .
i am taking tomorrow off .,je prends un jour de conge demain .
i m ashamed because i acted foolishly .,j ai honte car j ai agi stupidement .
he is a danger to society .,il est un danger pour la societe .
i m not strong .,je ne suis pas fort .
you re probably tired .,tu es probablement fatigue .
i m going to be a teacher .,je vais etre enseignant .
she is a confirmed gossip .,c est une vraie commere .
she is very proud of her daughter .,elle est tres fiere de sa fille .
i m ready .,je suis pret .
he s a lovely young man .,c est un jeune homme adorable .
i m pretty hungry since i haven t eaten since early this morning .,j ai assez faim parce que je n ai pas mange depuis tot ce matin .
you re forgiven .,vous etes pardonnes .
you re all racists .,vous etes tous des racistes .
i m not finished .,je n en ai pas termine .
you re creative .,vous etes creatives .
he is my colleague .,il est mon collegue .
you re replaceable .,tu n es pas indispensable .
i m not mean .,je ne suis pas mechant .
he is very stingy with his money .,il est tres radin avec son argent .
i m very happy to make your acquaintance .,je suis heureux de vous avoir rencontre .
i m interested in mountain climbing .,je m interesse a l escalade .
he s always breaking into our conversation .,il se mele toujours de notre conversation .
i m not a great photographer .,je ne suis pas une grande photographe .
i m so happy to see you again .,je suis si heureux de te revoir .
you re not supposed to be here .,vous n etes pas suppose vous trouver la .
he s ready to go .,il est pret a partir .
i m not good at drawing .,je suis mauvais en dessin .
i m touched .,je suis touchee .
she s at a meeting .,elle est en reunion .
i m waiting for a letter from tom .,j attends une lettre de tom .
he s raking it in .,il prend plein d oseille .
i m uncomfortable in these new shoes .,je ne me sens pas a l aise dans ces nouvelles chaussures .
he s not all there .,il n est pas tout a fait la .
she is a college student .,elle est etudiante .
i m offering you a job .,je vous offre un emploi .
you re too old .,vous etes trop vieilles .
you are always watching tv .,vous regardez tout le temps la television .
i m always hungry .,j ai toujours faim .
i m happy to be back .,je suis heureuse d etre revenue .
we re all afraid .,nous avons toutes peur .
she is not only beautiful but also intelligent .,elle est non seulement belle mais aussi intelligente .
i m cooperating .,je suis en train de cooperer .
i am staying at the hotel for the time being .,je reste a l hotel pour le moment .
i m aware of the possibility .,je suis conscient de la possibilite .
you re not as good as you think you are .,vous n etes pas aussi bonnes que vous pensez l etre .
he s afraid of dogs .,il a peur des chiens .
i m hungry .,j ai faim !
you re not fired .,tu n es pas vire .
we re leaving in five minutes .,on part dans cinq minutes .
we are not americans .,nous ne sommes pas des americains .
i m sure you did what you thought was the right thing to do .,je suis sur que tu as fait ce qui te semblait etre la chose a faire .
i am accustomed to working hard .,je suis habitue a travailler dur .
he s english but lives in india .,il est anglais mais vit en inde .
he s a democrat fundraiser .,c est un collecteur de fonds pour le parti democrate .
i am thinking of going abroad .,je songe a me rendre a l etranger .
i m not afraid of death .,je n ai pas peur de la mort .
i m not going to do anything you don t want me to .,je ne vais rien faire que tu ne veux pas que je fasse .
i m your boyfriend aren t i ?,je suis ton petit ami n est ce pas ?
you aren t welcome in this house .,tu n es pas la bienvenue dans cette maison .
she s busy now and can t talk with you .,elle est occupee a l instant et ne peut s entretenir avec vous .
she is good natured .,elle est bienveillante .
